our_code	producer_code	name	producer	quantity	price	ean
0PR4254253	4254253	PRZEWOD NAGRZEW.PN,PN CARO,PLUS "L" FABR	POLONEZ/FSO	0	9,47	
0PR4355844	4355844	PRZEWOD POMPA WODY TERMOSTAT PN FABRYCZN	POLONEZ/FSO	0	5,74	
0PR4357480	4357480	PRZEWOD GUMOWY POMPA WODY RURKA NAG.PN	POLONEZ/FSO	0	2,14	
0PR4358343	4358343	PRZEWOD CHLODNICY PN GORNY FABRYCZNY	POLONEZ/FSO	0	7,61	
0PR4358343/1	4358343/1	PRZEWOD CHLODNICY PN GORNY PAGUM	POLONEZ/FSO	8	9,11	4358343 POLONEZ GORY
0PR4366464/1	4366464/1	PROG ZEWNETRZNY PRAWY PN KONSKIE........	POLONEZ/FSO	0	26,20	
0PR4366465/1	4366465/1	PROG ZEWNETRZNY LEWY PN KONSKIE.........	POLONEZ/FSO	0	26,20	
0PR4366786	4366786	PRZEWOD NAGRZEWNICY PN "S" WOLBROM .....	POLONEZ/FSO	0	5,57	
0PR4377366	4377366	PROG WEWNETRZNY PRAWY PN	POLONEZ/FSO	0	20,75	
0PR4377367	4377367	PROG WEWNETRZNY LEWY PN	POLONEZ/FSO	0	20,75	3019
0PR4379875	4379875	PRZEWOD ZBIOR.PALIWA WLEWU PN FABR	POLONEZ/FSO	0	13,57	
0PR4379875/R	4379875/R	PRZEWOD ZBIOR.PALIWA WLEWU PN RZEM	POLONEZ/FSO	16	10,59	5907553959111
0PR4381870	4381870	PRZEWOD ODPOWIETRZENIA SILNIKA PN FABRYC	POLONEZ/FSO	0	3,35	
0PR44919027/1	44919027/1	PRZERYWACZ APARATU ZAPL.FSO WAT	POLONEZ/FSO	17	14,91	
0PR449780301	449780301	PRZEWOD APARATU ZAPL.EL.PN ZIELONY	POLONEZ/FSO	18	13,42	5906190467591
0PR4910030	4910030	PRZEGUB ELAST.WALU NOWY TYP PN	POLONEZ/FSO	11	44,04	5907553959494
0PR4910030/M	4910030/M	PRZEGUB ELAST.WALU NOWY TYP PN METALEX..	POLONEZ/FSO	0	33,46	5907553959494
0PR5261600	5261600	PRZEL.ZESP.PN SZER.DZWIGNIA /ODNOWIONY/	POLONEZ/FSO	0	85,96	
0PR5262300	5262300	PRZEL.ZESP.PN MR 93/LUB 3 ODNOWIONY 7/8	POLONEZ/FSO	0	63,80	
